Review date	Link	Part of train set	Manufacturer 	Gauge	Operator	Class 	Livery	Detail	Performance	Power (coaches)	Mechanism	Quality	Value	Score
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
		FALSE												
